stt,keyword,cluster,intent,priority,owner_url,baseline_date,measurement_status,gsc_clicks_28d,gsc_impressions_28d,gsc_ctr,gsc_average_position,observed_serp_rank,index_status,local_pack_status,note
14,vòng tay handmade theo tên,Vòng tay cá nhân hóa,Thương mại,Cao,https://mushroomie.io.vn/san-pham?category=vong-tay,2026-07-17,pending_authenticated_data,,,,,,,,"Nhấn mạnh chữ cái, tên và thông điệp riêng"
15,vòng tay handmade làm quà,Vòng tay quà tặng,Thương mại,Cao,https://mushroomie.io.vn/san-pham?category=vong-tay,2026-07-17,pending_authenticated_data,,,,,,,,Liên kết với hộp quà và đóng gói
16,phụ kiện handmade,Phụ kiện handmade,Thương mại,Rất cao,https://mushroomie.io.vn/san-pham,2026-07-17,pending_authenticated_data,,,,,,,,Từ khóa trụ cột toàn website
17,shop phụ kiện handmade,Phụ kiện handmade,Điều hướng/Thương mại,Cao,https://mushroomie.io.vn/,2026-07-17,pending_authenticated_data,,,,,,,,Tối ưu thương hiệu và độ tin cậy
18,trang sức handmade,Phụ kiện handmade,Thương mại,Cao,https://mushroomie.io.vn/san-pham,2026-07-17,pending_authenticated_data,,,,,,,,"Gom vòng tay, vòng cổ và dây chuyền"
19,phụ kiện nữ,Phụ kiện thời trang,Thương mại,Rất cao,https://mushroomie.io.vn/san-pham,2026-07-17,pending_authenticated_data,,,,,,,,"Từ khóa rộng, cần nội dung danh mục chất lượng"
20,phụ kiện thời trang,Phụ kiện thời trang,Thương mại,Rất cao,https://mushroomie.io.vn/san-pham,2026-07-17,pending_authenticated_data,,,,,,,,Không làm lệch định vị handmade
21,móc khóa handmade,Móc khóa handmade,Thương mại,Cao,https://mushroomie.io.vn/san-pham?category=moc-khoa,2026-07-17,pending_authenticated_data,,,,,,,,Danh mục sản phẩm có nhu cầu rõ
22,móc khóa điện thoại,Móc khóa handmade,Thương mại,Cao,https://mushroomie.io.vn/san-pham?category=moc-khoa,2026-07-17,pending_authenticated_data,,,,,,,,Kết hợp sản phẩm dây đeo và charm
23,móc khóa cute,Móc khóa handmade,Thương mại,Cao,https://mushroomie.io.vn/san-pham?category=moc-khoa,2026-07-17,pending_authenticated_data,,,,,,,,Sử dụng ảnh thật và mô tả đúng sản phẩm
24,charm handmade,Charm handmade,Thương mại/Thông tin,Cao,https://mushroomie.io.vn/san-pham?category=charm,2026-07-17,pending_authenticated_data,,,,,,,,Có thể kết hợp bài hướng dẫn chọn charm
25,charm vòng tay,Charm handmade,Thương mại,Cao,https://mushroomie.io.vn/san-pham?category=charm,2026-07-17,pending_authenticated_data,,,,,,,,Liên kết tới vòng tay charm và custom
26,vòng cổ handmade,Trang sức handmade,Thương mại,Cao,https://mushroomie.io.vn/san-pham?category=vong-co,2026-07-17,pending_authenticated_data,,,,,,,,Ưu tiên ảnh phối đồ và thông tin chất liệu
27,dây chuyền handmade,Trang sức handmade,Thương mại,Cao,https://mushroomie.io.vn/san-pham?category=vong-co,2026-07-17,pending_authenticated_data,,,,,,,,"Tách trang khi có đủ sản phẩm, tránh nội dung mỏng"
28,quà tặng handmade,Quà tặng handmade,Thương mại,Rất cao,https://mushroomie.io.vn/tin-tuc/qua-tang-handmade,2026-07-17,pending_authenticated_data,,,,,,,,Từ khóa trụ cột cho cụm quà tặng
29,quà sinh nhật cho bạn thân,Quà tặng theo đối tượng,Thương mại/Thông tin,Cao,https://mushroomie.io.vn/tin-tuc/vong-tay-best-friend-handmade,2026-07-17,pending_authenticated_data,,,,,,,,"Đề xuất vòng tay, móc khóa và hộp quà"
30,quà handmade cho người yêu,Quà tặng theo đối tượng,Thương mại/Thông tin,Cao,https://mushroomie.io.vn/tin-tuc/qua-handmade-tang-nguoi-yeu,2026-07-17,pending_authenticated_data,,,,,,,,Nhấn mạnh cá nhân hóa và cảm xúc
